district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Roberto,Trevino,male,hispanic-american,1971-01-20,2014-12-11,2017-05-31,councilor,nonpartisan,district1@sanantonio.gov,210-207-0900,"1310 Vance Jackson, San Antonio, TX 78283",https://twitter.com/Trevino_D1,https://www.facebook.com/RCT.D1SATX/,https://www.sanantonio.gov/portals/0/Images/Council/d1/Thumbnail-RobertoCTrevino.jpg
2,no,Alan,Warrick,male,african-american,1980-12-07,2014-12-16,2017-05-31,councilor,nonpartisan,district2@sanantonio.gov,210-207-0950,"Claude Black Community Center 2805 E. Commerce,Suite #30 San Antonio, TX 78203",https://twitter.com/AlanWarrickII,https://www.facebook.com/SanAntonioD2/,https://pbs.twimg.com/profile_images/532194174637178880/ek_Ln_sO.jpeg
3,no,Rebecca,Viagran,female,hispanic-american,1974-06-25,,2017-05-31,councilor,nonpartisan,district3@sanantonio.gov,210-207-7064,"3319 Sidney Brooks, Bldg. 510 San Antonio, TX 78235",https://twitter.com/voteviagran,https://www.facebook.com/VoteforRebecca/,http://www.rebeccaviagran.com/sites/rebeccaviagran/files/pictures/602927_327825434000020_896459113_n.jpg
4,no,Rey,Saldana,male,hispanic-american,,,2017-05-31,councilor,nonpartisan,district4@sanantonio.gov,210-207-7281,"5102 Old Pearsall Road  San Antonio, TX 78242",https://twitter.com/rey4sa,https://www.facebook.com/rey4sa,http://ww3.hdnux.com/photos/21/07/75/4489026/7/rawImage.jpg
5,no,Shirley,Gonzales,female,hispanic-american,1972-06-02,,2017-05-31,councilor,nonpartisan,district5@sanantonio.gov,210-207-7043,"200 N. Park San Antonio, TX 78204",https://twitter.com/CWShirleyG,https://www.facebook.com/ShirleyGonzalesD5,http://www.bankers-anonymous.com/wp-content/uploads/2013/03/shirley-gonzales.jpg
6,no,Ray,Lopez,male,hispanic-american,,,2017-05-31,councilor,nonpartisan,district6@sanantonio.gov,210-207-3749,"8373 Culebra Road, Suite 202 San Antonio, TX 78251",https://twitter.com/cmraylopez,https://www.facebook.com/councilmanraylopezD6,http://www.samcoinc.org/wp-content/uploads/2014/04/CM-Lopez.jpg
7,no,Cris,Medina,male,hispanic-american,,,2017-05-31,councilor,nonpartisan,district7@sanantonio.gov,210-207-7044,"4414 Centerview Dr., Suite 160 San Antonio, TX 78228",https://twitter.com/CrisMedina,https://www.facebook.com/CouncilmanCrisMedina,http://media2.fdncms.com/sacurrent/imager/sapd-fbi-investigating-councilman-cris-me/u/original/2325812/cris-medinajpg
8,no,Ron,Nirenberg,male,unspecified,1977-04-03,,2017-05-31,councilor,nonpartisan,district8@sanantonio.gov,210-207-0943,"Colonnade Centre Building 9830 Colonnade Blvd. Suite 165 San Antonio, TX 78230",https://twitter.com/ron_nirenberg,https://www.facebook.com/nirenberg,http://ww3.hdnux.com/photos/43/31/61/9280606/7/rawImage.jpg
9,no,Joe,Krier,male,white-american,,,2017-05-31,councilor,nonpartisan,district9@sanantonio.gov,210-207-0955,"16500 San Pedro, Suite 290 San Antonio, TX 78232",https://twitter.com/JoeKrierD9,https://www.facebook.com/CouncilmanJoeKrierDistrict9,http://media.bizj.us/view/img/3200741/krier-joseph*750xx3988-2248-0-0.jpg
10,no,Mike,Gallagher,male,white-american,,,2017-05-31,councilor,nonpartisan,district10@sanantonio.gov,210-207-0999,"Catholic Life Building 1635 NE Loop 410 Ste. 510 San Antonio, TX 78209",https://twitter.com/d10gallagher,https://www.facebook.com/d10gallagher/,https://www.sanantonio.gov/portals/0/Images/Council/CouncilListAccordd10.jpg
,,Ivy,Taylor,female,african-american,1970-06-17,2014-07-22,2017-05-31,mayor,democrat,Mayor.IvyTaylor@sanantonio.gov,210-207-2280,"P.O. Box 839966, San Antonio, TX 78283",https://twitter.com/IvyRTaylor,https://www.facebook.com/IvyRTaylorSA/,http://www.sanantonio.gov/portals/0/Images/HousingSummit/Mayor%20photo.jpg
